questionID,cardType,correct,D1,D2,D3
1,fiveframe,2,3,1,4
2,fiveframe,2,4,1,5
3,fiveframe,2,5,0,4
4,fiveframe,3,4,2,1
5,fiveframe,1,5,3,4
6,fiveframe,4,3,2,1
7,fiveframe,2,4,3,1
8,fiveframe,5,1,2,0
9,fiveframe,1,4,5,0
10,fiveframe,1,0,2,5
11,fiveframe,2,1,4,0
12,fiveframe,0,2,3,5
13,fiveframe,3,0,2,5
14,fiveframe,3,2,0,5
15,fiveframe,0,2,5,3
16,fiveframe,3,4,1,0
17,fiveframe,2,3,1,5
18,fiveframe,0,5,4,3
19,fiveframe,3,5,4,2
20,fiveframe,5,1,0,3
21,fiveframe,1,0,4,5
22,fiveframe,1,4,0,3
23,fiveframe,2,1,0,5
24,fiveframe,4,3,2,0
25,fiveframe,1,5,4,3
26,fiveframe,2,4,5,3
27,fiveframe,5,4,2,0
28,fiveframe,3,1,2,5
29,fiveframe,3,2,0,5
30,fiveframe,0,3,1,2
31,fiveframe,3,1,0,4
32,fiveframe,2,3,1,5
33,fiveframe,2,5,0,4
34,fiveframe,5,2,4,3
35,fiveframe,3,5,2,0
36,fiveframe,1,5,4,3
37,fiveframe,0,5,4,2
38,fiveframe,1,3,5,2
39,fiveframe,5,3,0,2
40,fiveframe,1,3,0,5
41,fiveframe,3,4,1,5
42,fiveframe,1,2,5,0
43,fiveframe,1,0,2,4
44,fiveframe,4,5,0,3
45,fiveframe,5,4,3,2
46,fiveframe,3,0,2,5
47,fiveframe,4,5,0,1
48,fiveframe,4,0,1,5
49,fiveframe,0,5,4,1
50,fiveframe,4,0,3,1
51,fiveframe,4,2,1,3
52,fiveframe,5,4,3,2
53,fiveframe,2,3,0,1
54,fiveframe,1,5,4,3
55,fiveframe,5,4,2,1
56,fiveframe,1,0,3,2
57,fiveframe,0,1,2,5
58,fiveframe,4,2,1,5
59,fiveframe,0,5,4,3
60,fiveframe,4,5,3,2
61,fiveframe,3,1,2,4
62,fiveframe,3,0,1,5
63,fiveframe,5,1,4,2
64,fiveframe,1,5,0,2
65,fiveframe,5,2,3,1
66,fiveframe,1,0,3,2
67,fiveframe,3,0,4,2
68,fiveframe,3,0,1,4
69,fiveframe,2,1,0,4
70,fiveframe,0,1,2,5
71,fiveframe,4,3,0,2
72,fiveframe,0,2,4,5
73,fiveframe,1,2,3,4
74,fiveframe,3,1,0,4
75,fiveframe,0,2,3,5
76,fiveframe,5,2,0,3
77,fiveframe,0,1,4,5
78,fiveframe,2,5,0,1
79,fiveframe,4,3,0,2
80,fiveframe,3,2,1,0
81,fiveframe,3,5,1,0
82,fiveframe,2,5,4,1
83,fiveframe,5,1,0,4
84,fiveframe,0,2,3,4
85,fiveframe,3,2,1,4
86,fiveframe,4,5,2,1
87,fiveframe,1,0,2,4
88,fiveframe,2,3,0,5
89,fiveframe,2,4,0,5
90,fiveframe,4,5,0,1
91,fiveframe,3,5,2,0
92,fiveframe,3,0,1,4
93,fiveframe,5,2,3,4
94,fiveframe,2,4,5,3
95,fiveframe,4,3,1,0
96,fiveframe,0,5,4,3
97,fiveframe,4,3,1,2
98,fiveframe,1,0,5,4
99,fiveframe,4,1,3,2
100,fiveframe,3,1,0,5
101,tenframe,8,6,2,4
102,tenframe,10,4,1,2
103,tenframe,10,4,9,5
104,tenframe,2,7,1,0
105,tenframe,8,4,10,9
106,tenframe,3,6,5,9
107,tenframe,5,0,6,8
108,tenframe,10,1,7,3
109,tenframe,8,10,0,3
110,tenframe,1,7,2,8
111,tenframe,5,4,9,1
112,tenframe,10,9,4,1
113,tenframe,9,6,2,7
114,tenframe,6,4,5,2
115,tenframe,3,6,5,1
116,tenframe,10,4,9,7
117,tenframe,5,10,9,3
118,tenframe,9,8,3,6
119,tenframe,5,0,8,3
120,tenframe,8,7,4,9
121,tenframe,6,8,1,4
122,tenframe,7,9,8,3
123,tenframe,4,10,8,3
124,tenframe,2,0,1,8
125,tenframe,6,2,8,10
126,tenframe,7,0,5,4
127,tenframe,7,8,0,10
128,tenframe,0,2,9,8
129,tenframe,2,0,3,4
130,tenframe,3,4,9,7
131,tenframe,9,5,1,0
132,tenframe,1,10,3,7
133,tenframe,8,9,3,5
134,tenframe,8,7,3,4
135,tenframe,4,10,0,5
136,tenframe,3,9,6,7
137,tenframe,2,7,9,3
138,tenframe,5,6,4,7
139,tenframe,2,10,0,9
140,tenframe,1,8,3,9
141,tenframe,2,1,4,7
142,tenframe,6,5,4,10
143,tenframe,9,1,4,6
144,tenframe,4,6,8,10
145,tenframe,6,8,4,9
146,tenframe,8,2,9,1
147,tenframe,10,7,8,9
